OrderID,Customer,Age,City,Product,Category,Price,Quantity,Date
1,M,25,Mumbai,Tablet,Tech,30000,1,2024-03-15
2,C,25,Chennai,Phone,Tech,20000,2,2024-02-12
3,S,22,Mumbai,Laptop,Tech,50000,3,2024-11-13
4,J,30,Chennai,Shirt,Clothing,1000,3,2024-05-21
5,T,30,Kolkata,Laptop,Tech,50000,2,2024-08-29
6,Q,25,Bangalore,Shoes,Clothing,2000,2,2024-12-24
7,Q,35,Delhi,Shirt,Clothing,1000,2,2024-10-27
8,I,22,Chennai,Shirt,Clothing,1000,1,2024-12-24
9,V,30,Delhi,Shirt,Clothing,1000,3,2024-09-16
10,H,22,Delhi,Phone,Tech,20000,3,2024-05-05
11,W,30,Mumbai,Laptop,Tech,50000,2,2024-10-10
12,O,25,Mumbai,Shoes,Clothing,2000,1,2024-03-27
13,S,35,Kolkata,Shoes,Clothing,2000,2,2024-09-01
14,R,22,Kolkata,Laptop,Tech,50000,2,2024-12-22
15,P,35,Kolkata,Tablet,Tech,30000,2,2024-08-10
16,C,25,Delhi,Tablet,Tech,30000,2,2024-08-29
17,Q,30,Mumbai,Shoes,Clothing,2000,1,2024-07-25
18,B,35,Bangalore,Shoes,Clothing,2000,2,2024-09-15
19,O,25,Bangalore,Shoes,Clothing,2000,1,2024-02-22
20,R,25,Chennai,Shirt,Clothing,1000,2,2024-04-19
21,G,25,Bangalore,Phone,Tech,20000,2,2024-10-09
22,K,25,Delhi,Laptop,Tech,50000,3,2024-12-25
23,W,30,Delhi,Shoes,Clothing,2000,2,2024-01-01
24,L,25,Mumbai,Shoes,Clothing,2000,3,2024-08-27
25,L,30,Kolkata,Phone,Tech,20000,3,2024-11-12
26,Y,30,Mumbai,Laptop,Tech,50000,3,2024-07-27
27,Q,22,Chennai,Phone,Tech,20000,1,2024-04-30
28,F,35,Bangalore,Shoes,Clothing,2000,3,2024-06-01
29,W,22,Mumbai,Shoes,Clothing,2000,2,2024-02-26
30,J,25,Kolkata,Phone,Tech,20000,2,2024-10-26
31,U,25,Kolkata,Shirt,Clothing,1000,1,2024-11-28
32,L,30,Kolkata,Phone,Tech,20000,2,2024-12-12
33,W,30,Mumbai,Laptop,Tech,50000,3,2024-07-16
34,P,25,Kolkata,Shoes,Clothing,2000,3,2024-08-19
35,Q,22,Chennai,Shirt,Clothing,1000,2,2024-06-03
36,O,25,Kolkata,Shirt,Clothing,1000,2,2024-04-22
37,Z,30,Bangalore,Laptop,Tech,50000,2,2024-08-12
38,U,25,Kolkata,Shirt,Clothing,1000,1,2024-04-20
39,D,35,Chennai,Tablet,Tech,30000,3,2024-07-02
40,N,35,Mumbai,Shirt,Clothing,1000,2,2024-07-11
41,D,25,Delhi,Tablet,Tech,30000,2,2024-06-06
42,N,30,Mumbai,Laptop,Tech,50000,3,2024-07-29
43,W,22,Chennai,Tablet,Tech,30000,2,2024-08-19
44,H,22,Chennai,Phone,Tech,20000,2,2024-01-07
45,Q,25,Delhi,Phone,Tech,20000,1,2024-10-18
46,G,22,Delhi,Phone,Tech,20000,1,2024-12-21
47,Z,35,Delhi,Shirt,Clothing,1000,3,2024-08-31
48,R,22,Mumbai,Laptop,Tech,50000,1,2024-06-16
49,U,35,Delhi,Phone,Tech,20000,3,2024-03-22
50,Q,25,Kolkata,Tablet,Tech,30000,3,2024-09-24
51,K,25,Mumbai,Shirt,Clothing,1000,3,2024-11-15
